t-3	t-2	t-1	t0	t1	Naive Bayes	n
continuous	continuous	continuous	continuous	continuous	discrete	continuous
					class	meta
8227.73645189	8366.46648433	8505.19651678	8566.09783323	8386.5762149	2133	438.0
-3461.850595	-3641.37221333	-3820.89383167	-3922.88206325	-3831.68896328	-1040	439.0
26900.3857287	26991.5788286	27082.7719286	25945.7871067	22639.3992915	2133	440.0
1384.65503298	1346.46469179	1308.27435059	1312.1222276	1317.42127596	-26	447.0
-1689.06684213	-3481.84431633	-5274.62179053	-5270.13865456	-5084.23165808	-1040	449.0
-3445.01164613	-5255.41380661	-7065.8159671	-6814.16644275	-6542.75670996	-1040	454.0
-896.160261059	-1086.0595293	-1275.95879755	-1317.51003066	-1257.7932602	-2133	456.0
-923.611668799	-1012.59232921	-1101.57298961	-1163.60627517	-1075.67553486	-2133	458.0
7818.23157965	7884.86798553	7951.50439141	7485.52045827	6596.55257774	2133	461.0
-5848.99774959	-6737.96563011	-7626.93351064	-7660.7535458	-7457.32676053	-1040	462.0
2014.19354839	2114.90322581	2215.61290323	2224.91018409	2085.39300794	-26	464.0
3498.96562177	3565.86835696	3632.77109215	3527.78171186	3398.68474489	-26	467.0
11453.6674111	11489.9231025	11526.1787938	11423.193911	9385.80247065	2133	470.0
-10988.1119333	-13025.5033737	-15062.8948141	-15397.9162938	-15040.4814521	-1040	471.0
1507.83018868	1608.35220126	1708.87421384	1671.89945185	1557.7900602	-26	473.0
188.477360414	74.367968765	-39.7414228838	-96.7039179339	-58.6342278868	-2133	474.0
740.829263102	778.898953149	816.968643196	752.13349813	684.432900098	-26	475.0
-331.076070373	-398.776668405	-466.477266436	-482.46138058	-453.383549624	-2133	476.0
754.91531731	780.159930319	805.404543328	693.499496373	510.788221403	-26	478.0
-1133.61325333	-1316.3245283	-1499.03580327	-1483.77991922	-1374.19474128	-2133	479.0
1255.84952915	1365.43470708	1475.01988501	1317.11897094	1120.10416259	-26	480.0
-850.043920843	-1047.05872919	-1244.07353753	-1300.15450438	-1202.06311743	-2133	481.0
-2255.14027261	-2563.16189431	-2871.18351602	-3029.75695289	-2927.51864186	-2133	486.0
-2629.25813372	-2815.60190033	-3001.94566694	-3018.52980286	-2910.02953912	-2106	491.0
3716.28753181	3816.72773537	3917.16793893	3874.73982316	3653.49608577	2106	493.0
-992.622399447	-1213.86613684	-1435.10987423	-1433.97865956	-1355.8735417	-2133	494.0
6229.29878049	6329.77134146	6430.24390244	6470.01218024	5503.5462601	2133	497.0
2236.03766426	2272.31349061	2308.58931696	1659.09511078	960.78451028	-26	501.0
-1134.14729121	-1832.45789171	-2530.76849221	-2941.25336473	-2765.9871679	-2133	502.0
-539.068732862	-698.001659691	-856.93458652	-953.107983465	-884.661808784	-2133	504.0
1100.27725698	1168.72343166	1237.16960634	1257.08668278	1147.10192668	-26	505.0
-832.623683071	-942.608439169	-1052.59319527	-1098.01311364	-1048.70055542	-2133	506.0
-473.717425611	-536.05306993	-598.388714249	-618.48043043	-559.601794898	-2133	515.0
3713.79506173	3814.16790123	3914.54074074	3976.82474227	3524.2156701	2106	517.0
-1454.48412371	-1907.09319588	-2359.70226804	-2468.44225272	-2320.85285878	-2133	518.0
1264.32088285	1275.96833748	1287.61579212	1261.38308153	1078.08603727	-26	520.0
-1488.07258239	-1671.36962665	-1854.66667092	-1796.30792392	-1688.12227961	-2133	521.0
6468.35682021	6518.01775342	6567.67868664	6509.09467768	5826.35462147	2133	525.0
-6462.96639022	-7145.70644642	-7828.44650263	-7944.62207981	-7766.21378541	-1040	526.0
2511.11898017	2611.56373938	2712.00849858	2587.60984159	2448.94857811	-26	528.0
694.438055429	716.634239981	738.830424533	742.420711588	713.16553851	-26	537.0
749.048869009	742.010084386	734.971299762	728.060781449	734.400388839	-26	540.0
934.355024748	935.982237137	937.609449525	824.161439063	674.371496839	-26	542.0
-1272.89775206	-1422.68769429	-1572.47763651	-1609.66513883	-1512.38739125	-2133	543.0
5984.25427231	6042.08021115	6099.90614998	5810.1351026	5479.41840718	2133	545.0
13428.7086878	13519.1398752	13609.5710626	13676.5278754	13059.8841749	2133	548.0
-10372.5764452	-10989.2201457	-11605.8638462	-11916.6895248	-11476.903062	-1040	549.0
6183.67679182	6260.71264066	6337.7484895	6212.42560675	5605.26881286	2133	556.0
-5323.55347708	-5930.71027097	-6537.86706485	-6367.90967354	-6197.78209816	-1040	557.0
5706.94267952	5717.82061444	5728.69854937	5248.12131902	4700.75500276	2133	560.0
-6246.57132237	-6793.93763863	-7341.30395489	-7831.27634705	-7521.94049492	-1040	561.0
1693.01039574	1717.54195151	1742.07350727	1579.57080637	1327.78656093	-26	566.0
-1945.40862981	-2197.19287525	-2448.97712069	-2394.6229817	-2256.64039031	-2133	567.0
-248.490185003	-294.848551287	-341.206917571	-355.363158551	-332.497399153	-2133	569.0
-493.880525682	-556.941153967	-620.001782252	-613.461305416	-579.121697762	-2133	579.0
176.349670617	210.689278271	245.028885925	201.711288706	151.038272463	-2106	580.0
3206.16611296	3306.35880399	3406.55149502	3311.00983944	3071.58131046	-26	584.0
-759.275153257	-998.703682239	-1238.13221122	-1390.64717973	-1302.67886175	-2133	585.0
2831.8320832	2919.80040117	3007.76871915	2989.72199777	2801.25926291	-26	586.0
-1721.84637367	-1910.30910853	-2098.77184338	-2255.42321822	-2174.24936074	-2133	587.0
-776.746894965	-836.348700911	-895.950506857	-889.373837961	-876.671530431	-2133	590.0
2643.2590829	2709.90388854	2776.54869418	2623.01028651	2403.01582137	-26	592.0
-1996.87348144	-2216.86794658	-2436.86241172	-2628.98808141	-2523.85019324	-2133	593.0
7640.28810306	7702.56079997	7764.83349687	7409.2760027	6822.78574317	2133	595.0
-6666.49022582	-7252.98048534	-7839.47074486	-8340.02690608	-8041.70988103	-1040	596.0
1253.27771891	1283.65222725	1314.02673559	1324.98304961	1181.94508991	-26	598.0
-1535.77614434	-1678.81410404	-1821.85206373	-1865.60127684	-1775.39807594	-2133	599.0
1201.30755358	1291.51075448	1381.71395537	1354.51895766	1203.59331067	-26	600.0
-1211.21704127	-1362.14268827	-1513.06833527	-1648.55386179	-1566.30817512	-2133	601.0
-3355.75247185	-4463.92572627	-5572.0989807	-6225.03611827	-5967.06147107	-1040	613.0
-24645.5130823	-25164.7132495	-25683.9134167	-25675.1531361	-25381.2233498	-1040	619.0
-6434.80103266	-6710.41970053	-6986.03836841	-7221.92436696	-6991.8844928	-1040	622.0
23164.8099579	23263.7582032	23362.7064484	23019.405612	21690.8474839	2133	624.0
-19494.4544869	-20823.012615	-22151.5707431	-22096.190745	-21905.371648	-1040	625.0
10934.2152466	11034.529148	11134.8430493	11135.9252882	10417.4224101	2133	632.0
-6826.64666449	-7545.1495426	-8263.65242071	-8250.8173318	-7935.2496504	-1040	633.0
6341.53792977	6413.61160739	6485.68528501	6431.6581369	6234.51293003	2133	635.0
-3425.60220662	-3622.74741349	-3819.89262036	-3857.20152265	-3802.33530201	-1040	636.0
829.366617497	765.441159131	701.515700765	675.494534946	684.094274281	-26	641.0
1062.48280499	1071.08254432	1079.68228366	1026.48989229	934.484954608	-26	642.0
9426.40728226	9514.39817763	9602.389073	9391.3151786	8946.39810555	2133	650.0
-6180.78237802	-6625.69945107	-7070.61652412	-7377.12085547	-7170.60612274	-1040	651.0
6594.23796289	6609.54037937	6624.84279586	6531.48925796	6364.98084217	2133	654.0
-6123.15034144	-6289.65875722	-6456.167173	-6495.05828322	-6456.6066344	-1040	655.0
11008.2029128	11133.3632514	11258.5235899	11303.6372983	11214.1913758	2133	657.0
4257.97619989	4308.02316771	4358.07013553	3845.96831754	3157.92556397	2133	660.0
-10602.9295073	-11290.9722608	-11979.0150144	-11783.4756216	-11186.3850697	-1040	661.0
-4540.72047295	-4877.6362089	-5214.55194486	-5117.72058297	-4994.31789433	-1040	664.0
3150.25955549	3273.66224412	3397.06493276	3417.81610446	3335.13512017	-26	665.0
9826.10207337	9926.36842105	10026.6347687	9974.70860364	9797.02454894	2133	667.0
3652.69936215	3752.72637894	3852.75339574	3783.74455194	3569.37917064	2106	670.0
-3290.31303099	-3504.6784123	-3719.0437936	-3877.84988609	-3773.84448904	-1040	671.0
2778.49552506	2882.50092211	2986.50631916	3013.68280967	2871.91154951	-26	672.0
-2373.62507631	-2515.39633647	-2657.16759663	-2589.78595405	-2518.14052666	-2106	673.0
3907.23666667	4007.42222222	4107.60777778	3995.42167196	3803.3198448	2133	677.0
-807.124007055	-999.225834215	-1191.32766138	-1272.73754156	-1206.87191504	-2133	678.0
-2215.99183731	-2336.54443741	-2457.09703751	-2548.33313495	-2468.64476125	-2133	681.0
-3466.29148482	-3701.84373497	-3937.39598511	-4055.53849943	-3931.67864129	-1040	685.0
8949.7466058	9073.60646394	9197.46632209	8524.30297045	7683.41283521	2133	686.0
-6611.71946376	-7452.609599	-8293.49973423	-8433.76992303	-8078.16021526	-1040	687.0
11921.7929063	12001.5719401	12081.3509738	11177.6909971	10169.7422365	2133	689.0
-9989.23297614	-10997.1817368	-12005.1304974	-11968.8732261	-11636.1851466	-1040	690.0
-1240.05859844	-1364.24113913	-1488.42367981	-1485.85029887	-1417.14469575	-2133	692.0
-6077.59233038	-6461.96371681	-6846.33510324	-6847.28331434	-6683.18675095	-1040	697.0
3162.60705229	3326.70361568	3490.80017906	3140.22432878	2678.24221289	-26	698.0
-3327.52529374	-3789.50740963	-4251.48952552	-4602.63839851	-4412.11758286	-1040	699.0
5365.67534188	5404.09805685	5442.52077181	5165.54729739	4596.33414495	2133	702.0
-6218.71575146	-6787.9289039	-7357.14205634	-7804.41276692	-7452.50523148	-1040	703.0
5874.34729135	5964.95626902	6055.56524669	5966.85627388	5733.63730249	2133	712.0
-3128.68361045	-3361.90258184	-3595.12155324	-3663.82137111	-3585.95858026	-1040	713.0
749.862368767	761.440523455	773.018678143	773.912103869	708.018501751	-26	716.0
-741.640744854	-807.534346972	-873.42794909	-863.120169082	-825.101884493	-2133	717.0
-820.539322354	-900.062906594	-979.586490834	-1054.15657419	-1007.02078987	-2133	721.0
532.725042395	568.954877232	605.184712069	579.648141089	494.355209566	-26	726.0
12827.7775354	12927.9945474	13028.2115594	6743.20020121	-2373.37199917	-2106	729.0
6743.20020121	-2373.37199917	-11489.9441995	-12267.0369732	-11674.4836927	-2106	730.0
4874.93505656	5078.86856123	5282.8020659	4962.0296073	4567.28470862	2133	738.0
-2538.12346759	-2932.86836627	-3327.61326495	-3631.41593854	-3508.57245901	-1040	739.0
3493.50587445	3616.34935398	3739.19283351	3683.69427428	3245.31270772	-26	740.0
-3330.41079064	-3768.7923572	-4207.17392375	-4047.36356833	-3819.41899202	-1040	741.0
-2786.05266881	-3056.3456074	-3326.63854598	-3251.8460346	-3145.92955187	-2106	747.0
16448.6197535	16554.5362362	16660.4527189	15956.6718878	14860.9455111	2133	748.0
-13627.9402831	-14723.6666598	-15819.3930365	-15648.2434246	-15296.6532133	-1040	749.0
84556.4109023	84648.3188524	84740.2268025	84826.0581623	80773.4326478	2133	751.0
-77278.9624201	-81331.5879347	-85384.2134492	-84919.0449337	-83962.1672835	-1040	752.0
